instancia;tamanho;id;restricao;melhor incial;melhor GA;seed;crossover;LS;tempo
tc80_4;81;4;20;864;828;3;2;2;0:10:13.795517
tc80_5;81;5;5;1450;1313;3;2;2;0:10:02.632490
tc80_5;81;5;10;1181;1052;3;2;2;0:10:02.733454
tc80_5;81;5;20;966;923;3;2;2;0:10:13.820508
tc80_1;81;1;5;1236;1136;1;2;2;0:10:02.220638
tc80_1;81;1;10;1044;900;1;2;2;0:10:04.659769
tc80_1;81;1;20;918;850;1;2;2;0:10:15.860781
tc80_2;81;2;5;1244;1140;1;2;2;0:10:01.954731
tc80_2;81;2;10;981;897;1;2;2;0:10:02.915391
tc80_2;81;2;20;895;827;1;2;2;0:10:21.978605
tc80_3;81;3;5;1200;1113;1;2;2;0:10:02.237631
tc80_3;81;3;10;996;924;1;2;2;0:10:03.555162
tc80_3;81;3;20;906;862;1;2;2;0:10:11.393372
tc80_4;81;4;5;1208;1130;1;2;2;0:10:02.295610
tc80_4;81;4;10;942;857;1;2;2;0:10:02.399573
tc80_4;81;4;20;848;798;1;2;2;0:10:13.562600
tc80_5;81;5;5;1413;1330;1;2;2;0:10:01.990719
tc80_5;81;5;10;1147;1052;1;2;2;0:10:03.688115
tc80_5;81;5;20;1007;939;1;2;2;0:10:08.436424
tc80_1;81;1;5;1246;1142;4;2;2;0:10:02.248629
tc80_1;81;1;10;995;906;4;2;2;0:10:04.343882
tc80_1;81;1;20;917;856;4;2;2;0:10:17.341254
tc80_2;81;2;5;1210;1153;4;2;2;0:10:03.041345
tc80_2;81;2;10;991;907;4;2;2;0:10:03.594148
tc80_2;81;2;20;858;790;4;2;2;0:10:10.350743
tc80_3;81;3;5;1223;1115;4;2;2;0:10:02.469549
tc80_3;81;3;10;983;934;4;2;2;0:10:03.475191
tc80_3;81;3;20;902;858;4;2;2;0:10:15.434933
tc80_4;81;4;5;1191;1127;4;2;2;0:10:01.892753
tc80_4;81;4;10;926;841;4;2;2;0:10:04.714750
tc80_4;81;4;20;884;850;4;2;2;0:10:16.191665
tc80_5;81;5;5;1450;1313;4;2;2;0:10:01.950734
tc80_5;81;5;10;1156;1019;4;2;2;0:10:03.957020
tc80_5;81;5;20;994;951;4;2;2;0:10:08.485407
tc80_1;81;1;5;1245;1148;5;2;2;0:10:02.647486
tc80_1;81;1;10;1010;894;5;2;2;0:10:04.059982
tc80_1;81;1;20;913;860;5;2;2;0:10:17.212301
tc80_2;81;2;5;1227;1160;5;2;2;0:10:02.505536
tc80_2;81;2;10;982;910;5;2;2;0:10:03.704110
tc80_2;81;2;20;876;808;5;2;2;0:10:11.284411
tc80_3;81;3;5;1221;1120;5;2;2;0:10:02.058695
tc80_3;81;3;10;1020;935;5;2;2;0:10:05.177584
tc80_3;81;3;20;885;840;5;2;2;0:10:09.383088
tc80_4;81;4;5;1224;1129;5;2;2;0:10:02.375583
tc80_4;81;4;10;952;867;5;2;2;0:10:03.381224
tc80_4;81;4;20;864;830;5;2;2;0:10:15.728829
tc80_5;81;5;5;1430;1310;5;2;2;0:10:02.698468
tc80_5;81;5;10;1103;966;5;2;2;0:10:05.265554
tc80_5;81;5;20;982;944;5;2;2;0:10:11.664276
te80_1;81;1;5;2673;2577;2;2;2;0:10:02.342594
te80_1;81;1;10;1766;1736;2;2;2;0:10:03.573155
te80_1;81;1;20;1377;1303;2;2;2;0:10:07.394795
te80_2;81;2;5;2622;2578;2;2;2;0:10:02.620495
te80_2;81;2;10;1745;1670;2;2;2;0:10:02.812427
te80_2;81;2;20;1314;1272;2;2;2;0:10:09.291121
te80_3;81;3;5;2724;2655;2;2;2;0:10:02.642488
te80_3;81;3;10;1867;1761;2;2;2;0:10:03.352234
te80_3;81;3;20;1397;1337;2;2;2;0:10:17.613158
te80_4;81;4;5;2686;2574;2;2;2;0:10:02.602502
te80_4;81;4;10;1825;1749;2;2;2;0:10:04.070980
te80_4;81;4;20;1393;1345;2;2;2;0:10:10.779590
te80_5;81;5;5;2606;2507;2;2;2;0:10:01.779795
te80_5;81;5;10;1780;1683;2;2;2;0:10:04.075978
te80_5;81;5;20;1328;1283;2;2;2;0:10:08.297475
